blind_id,file,caption,score_1to5,halluc_y_n
31,P001ICE0000159.ARW,"A quiet city street unfolds before us, with buildings lining both sides of the road. The sun casts long shadows, creating a moody atmosphere as cars wait patiently for the traffic light to",2,y
32,P001ICE0001394.ARW,"In this captivating image, two seagulls are captured in mid-flight over a vast, dark gray ocean. The seagulls, with their white bodies and gray wings, are positioned in",2,y
33,P001ICE0006679.ARW,A structure.,1,n
34,P001ICE0000147.ARW,A cat is sleeping on the ground.,4,n
35,P001MIS0000230.ARW,"The image depicts a somber scene of a memorial situated by a body of water, possibly a lake or river. The memorial consists of two prominent statues, each mounted on a black pedestal. The",3,n
36,P001ICE0000283.ARW,"In this image we can see water, buildings, trees, poles and in the background we can see the sky.",2,n
37,P001ICE0006070.ARW,A vehicle/action photo.,2,n
38,P001ICE0000159.ARW,A quiet street with parked cars and a row of buildings on either side.,3,n
39,P001MIS0000230.ARW,In honor of all who served.,3,n
40,P001ICE0000283.ARW,"The image depicts a coastal scene with a calm body of water stretching horizontally across the frame. The water appears to be relatively clear, with a few small ripples visible on its surface. The horizon is dominated",4,n
41,DSC03141.ARW,"The image depicts a harbor scene with a focus on several boats docked and moored. The background of the image shows a large, multi-story building with a distinctive architectural style. The building is",5,n
42,P001ICE0000159.ARW,"The image depicts a street scene in what appears to be a small town or village. The primary focus is on the street, which is paved and has a black asphalt surface. The street is lined with",4,n
43,P001ICE0000001.ARW,"A vast, flat landscape with a grid pattern of smaller rectangles, likely representing farm fields, seen from an airplane window.",4,n
44,P001ICE0000159.ARW,A street scene in a European town with a few cars parked along the curb and buildings on both sides of the street.,4,n
45,P001ICE0000283.ARW,"The ocean stretches out to the horizon, reflecting the clear blue sky above.",3,n
46,P001ICE0006679.ARW,"The image depicts a dimly lit room with a predominantly dark ambiance, suggesting it might be taken at night. The walls are white, and the ceiling is also white, creating a stark contrast with",2,n
47,P001ICE0000096.ARW,"A white, short sleeve, t-shirt with the word ""CATZILLA"" written across the top in bold black letters. Inside the circle of the word is a drawing of a catz",5,n
48,P001ICE0000147.ARW,A cat is sprawled on the pavement with a bag on its back.,3,n
49,P001ICE0002938.ARW,A rushing river with huge cliffs in the background.,3,n
50,DSC03141.ARW,A modern building with colorful tiles on its facade sits in front of a body of water.,3,n
51,P001ICE0000159.ARW,A cityscape/street photo.,2,n
52,P001ICE0002938.ARW,"A breathtaking landscape unfolds in this image, capturing the raw beauty of nature. The scene is dominated by a majestic waterfall cascading down a steep cliff, its powerful flow creating a fro",3,n
53,P001ICE0000116.ARW,"A woman walks up the stairs to the entrance of a building with a sign that says ""Odins Ravened Workshop"".",4,n
54,P001ICE0006070.ARW,"The image depicts a dark, overcast sky with a predominantly gray and cloudy appearance. The sky is mostly gray, with a few patches of lighter gray clouds scattered throughout. In the center of the",2,n
55,P001ICE0000001.ARW,"This photograph, taken from the window of an airplane, captures a detailed aerial view of a vast, flat landscape. The image prominently features the airplane's wing, which is visible in the upper left",4,n
56,DSC03141.ARW,"A bustling harbor scene unfolds as boats gently bob in the water, their masts standing tall against the backdrop of a striking modern building.",3,n
57,DSC03141.ARW,A collection of boats docked by a building with a pattern of multicolored tiles.,4,n
58,P001ICE0001394.ARW,"A seagull glides effortlessly over choppy waters, embodying the freedom and resilience of the sea.",5,n
59,P001ICE0000147.ARW,"The image depicts a scene on a sidewalk, likely in an urban or suburban area. The foreground features a person seated on the ground, seemingly in a state of exhaustion or contemplation. The individual is wearing",2,n
60,P001ICE0002938.ARW,A river with rapids winds through a canyon with a waterfall.,3,n
61,P001ICE0002938.ARW,"The image depicts a dramatic and expansive landscape dominated by a river flowing through a rugged terrain. The river is the central focus of the image, and it appears to be a significant feature due to the volume",4,n
62,P001ICE0000096.ARW,"The image depicts a white, short-sleeved t-shirt with a graphic design prominently displayed on the front. The design features a black cat-like creature standing on its hind legs in front",4,n
63,P001ICE0001394.ARW,Seagull in rough sea.,3,n
64,DSC03141.ARW,"The image depicts a large, modern building with a distinctive architectural design. The structure features a series of interconnected, angular sections that create a dynamic, almost fractal-like appearance. The building's facade is",3,n
65,P001ICE0001394.ARW,"The image depicts a bird flying over a body of water. The bird is positioned in the center of the image and appears to be a seagull, given its size and the shape of its wings.",4,n
66,P001ICE0000116.ARW,"The image depicts the front entrance of a building, which appears to be a coffee shop. The building has a light-colored exterior with vertical stripes, typical of commercial establishments. The facade is divided into",3,n
67,P001ICE0006679.ARW,"A stark white wall stands against a dark background, its clean lines and geometric precision evoking a sense of modern minimalism.",3,n
68,P001ICE0006679.ARW,A white board leaning against a white wall in a dark room.,3,n
69,P001ICE0006070.ARW,"A plane flying through a dark, cloudy sky.",5,n
70,P001ICE0000116.ARW,"A woman strolls past a charming yellow building, its welcoming facade adorned with a black sign that reads ""Odins Ravened Workshop"" and ""Hrafnagalour Geins",4,n
71,P001ICE0000096.ARW,"A white t-shirt featuring Catzilla is displayed on a wooden hanger, with the cat's face prominently visible. The shirt is positioned in the foreground, while a window in the background allows",4,n
